name,geog,lung_cancer_rate_per100k
US (SEER+NPCR),00000,54
"Union County, Florida",12125,182.9
"Owsley County, Kentucky",21189,141.9
"Mississippi County, Missouri",29133,132.3
"Carroll County, Kentucky",21041,131.5
"Perry County, Kentucky",21193,127.7
"Martin County, Kentucky",21159,126.4
"Lawrence County, Arkansas",05075,126.2
"Floyd County, Kentucky",21071,125.5
"Alexander County, Illinois",17003,123.6
"Harlan County, Kentucky",21095,123.6
"Hancock County, Tennessee",47067,123.4
"Trousdale County, Tennessee",47169,121.7
"Powell County, Kentucky",21197,120.7
"Clay County, Kentucky",21051,119.7
"Livingston County, Kentucky",21139,119.2
"Breathitt County, Kentucky",21025,116.7
"Lake County, Tennessee",47095,116.7
"Rockcastle County, Kentucky",21203,116.4
"Knox County, Kentucky",21121,116.1
"Leslie County, Kentucky",21131,115.7
"Montgomery County, Kentucky",21173,114.8
"Pendleton County, Kentucky",21191,114.7
"Sharp County, Arkansas",05135,113.9
"Whitley County, Kentucky",21235,113
"Lawrence County, Kentucky",21127,112.2
"Johnson County, Kentucky",21115,112.2
"Union County, Tennessee",47173,111.6
"Mingo County, West Virginia",54059,111.5
"Pike County, Kentucky",21195,109.3
"Harrison County, Kentucky",21097,109.2
"Lewis County, West Virginia",54041,109.2
"Tunica County, Mississippi",28143,108.8
"Mason County, Illinois",17125,108.2
"Monroe County, Kentucky",21171,108.2
"Butler County, Kentucky",21031,108
"Russell County, Kentucky",21207,107.4
"Crawford County, Missouri",29055,107.2
"Metcalfe County, Kentucky",21169,107
"Montgomery County, Missouri",29139,106.8
"Wolfe County, Kentucky",21237,106.5
"Gallatin County, Kentucky",21077,106.4
"Estill County, Kentucky",21065,106
"McCreary County, Kentucky",21147,105.4
"North Slope Borough, Alaska",02185,105.4
"Clay County, Arkansas",05021,105.4
"Quitman County, Georgia",13239,105.2
"Hart County, Kentucky",21099,104.8
"Edmonson County, Kentucky",21061,104.8
"Hickman County, Tennessee",47081,104.7
"Roane County, West Virginia",54087,104.6
"Campbell County, Tennessee",47013,104.4
"Rhea County, Tennessee",47143,104.3
"Logan County, West Virginia",54045,104.2
"St. Francois County, Missouri",29187,104.1
"Meade County, Kentucky",21163,103.9
"Lincoln County, West Virginia",54043,102.9
"McDowell County, West Virginia",54047,102.8
"Adair County, Kentucky",21001,102.7
"Logan County, Illinois",17107,102.5
"Carlisle County, Kentucky",21039,102.3
"Lincoln County, Kentucky",21137,102.1
"Polk County, Texas",48373,102
"Decatur County, Tennessee",47039,101.5
"Mississippi County, Arkansas",05093,101.4
"Hardin County, Illinois",17069,101.4
"Fleming County, Kentucky",21069,100.8
"Bath County, Kentucky",21011,100.8
"Jackson County, Kentucky",21109,100.7
"McLean County, Kentucky",21149,100.4
"Wyoming County, West Virginia",54109,100.4
"Barren County, Kentucky",21009,100.3
