fips,NAME,variable,median_income,moe
01001,"Autauga County, Alabama",B06011_001,29611,1630
01003,"Baldwin County, Alabama",B06011_001,30558,711
01005,"Barbour County, Alabama",B06011_001,19111,1190
01007,"Bibb County, Alabama",B06011_001,22100,1885
01009,"Blount County, Alabama",B06011_001,26998,1004
01011,"Bullock County, Alabama",B06011_001,21481,3268
01013,"Butler County, Alabama",B06011_001,20952,1209
01015,"Calhoun County, Alabama",B06011_001,25191,930
01017,"Chambers County, Alabama",B06011_001,23436,1282
01019,"Cherokee County, Alabama",B06011_001,24325,1753
01021,"Chilton County, Alabama",B06011_001,25602,1489
01023,"Choctaw County, Alabama",B06011_001,21793,2177
01025,"Clarke County, Alabama",B06011_001,21952,2003
01027,"Clay County, Alabama",B06011_001,23105,1667
01029,"Cleburne County, Alabama",B06011_001,26221,2291
01031,"Coffee County, Alabama",B06011_001,27683,1566
01033,"Colbert County, Alabama",B06011_001,26121,1287
01035,"Conecuh County, Alabama",B06011_001,21238,1387
01037,"Coosa County, Alabama",B06011_001,22108,2889
01039,"Covington County, Alabama",B06011_001,25808,780
01041,"Crenshaw County, Alabama",B06011_001,22230,2034
01043,"Cullman County, Alabama",B06011_001,25472,805
01045,"Dale County, Alabama",B06011_001,24824,1097
01047,"Dallas County, Alabama",B06011_001,20938,1033
01049,"DeKalb County, Alabama",B06011_001,23282,1374
01051,"Elmore County, Alabama",B06011_001,31019,1053
01053,"Escambia County, Alabama",B06011_001,22747,1953
01055,"Etowah County, Alabama",B06011_001,24321,843
01057,"Fayette County, Alabama",B06011_001,21245,1720
01059,"Franklin County, Alabama",B06011_001,24061,1944
01061,"Geneva County, Alabama",B06011_001,22168,1464
01063,"Greene County, Alabama",B06011_001,18127,2731
01065,"Hale County, Alabama",B06011_001,18364,2542
01067,"Henry County, Alabama",B06011_001,24649,1827
01069,"Houston County, Alabama",B06011_001,26243,437
01071,"Jackson County, Alabama",B06011_001,24231,1628
01073,"Jefferson County, Alabama",B06011_001,30328,426
01075,"Lamar County, Alabama",B06011_001,22595,2346
01077,"Lauderdale County, Alabama",B06011_001,26424,761
01079,"Lawrence County, Alabama",B06011_001,25519,1055
01081,"Lee County, Alabama",B06011_001,26380,862
01083,"Limestone County, Alabama",B06011_001,29303,1701
01085,"Lowndes County, Alabama",B06011_001,20328,2271
01087,"Macon County, Alabama",B06011_001,19505,1998
01089,"Madison County, Alabama",B06011_001,34448,901
01091,"Marengo County, Alabama",B06011_001,23742,2835
01093,"Marion County, Alabama",B06011_001,20853,1279
01095,"Marshall County, Alabama",B06011_001,25730,694
01097,"Mobile County, Alabama",B06011_001,26718,448
01099,"Monroe County, Alabama",B06011_001,22504,2253
01101,"Montgomery County, Alabama",B06011_001,27263,639
01103,"Morgan County, Alabama",B06011_001,27306,952
01105,"Perry County, Alabama",B06011_001,15560,3249
01107,"Pickens County, Alabama",B06011_001,20839,1353
01109,"Pike County, Alabama",B06011_001,22274,1842
01111,"Randolph County, Alabama",B06011_001,25140,1183
01113,"Russell County, Alabama",B06011_001,25281,1383
01115,"St. Clair County, Alabama",B06011_001,30269,1165
01117,"Shelby County, Alabama",B06011_001,38721,1208
01119,"Sumter County, Alabama",B06011_001,16495,1855
01121,"Talladega County, Alabama",B06011_001,23045,1276
01123,"Tallapoosa County, Alabama",B06011_001,24608,1314
01125,"Tuscaloosa County, Alabama",B06011_001,26205,841
01127,"Walker County, Alabama",B06011_001,25225,863
01129,"Washington County, Alabama",B06011_001,24523,2210
01131,"Wilcox County, Alabama",B06011_001,19041,1304
01133,"Winston County, Alabama",B06011_001,22024,1353
02013,"Aleutians East Borough, Alaska",B06011_001,31460,1780
02016,"Aleutians West Census Area, Alaska",B06011_001,43162,5704
02020,"Anchorage Municipality, Alaska",B06011_001,39063,740
02050,"Bethel Census Area, Alaska",B06011_001,14993,1765
02060,"Bristol Bay Borough, Alaska",B06011_001,43015,5354
02063,"Chugach Census Area, Alaska",B06011_001,38289,6457
02066,"Copper River Census Area, Alaska",B06011_001,32632,10240
02068,"Denali Borough, Alaska",B06011_001,25640,10506
02070,"Dillingham Census Area, Alaska",B06011_001,23157,1916
02090,"Fairbanks North Star Borough, Alaska",B06011_001,37073,1581
02100,"Haines Borough, Alaska",B06011_001,33500,9965
02105,"Hoonah-Angoon Census Area, Alaska",B06011_001,30000,4685
02110,"Juneau City and Borough, Alaska",B06011_001,43202,2048
02122,"Kenai Peninsula Borough, Alaska",B06011_001,31615,1260
02130,"Ketchikan Gateway Borough, Alaska",B06011_001,36494,1617
02150,"Kodiak Island Borough, Alaska",B06011_001,32014,2353
02158,"Kusilvak Census Area, Alaska",B06011_001,12045,1131
02164,"Lake and Peninsula Borough, Alaska",B06011_001,22043,4101
02170,"Matanuska-Susitna Borough, Alaska",B06011_001,30508,1034
02180,"Nome Census Area, Alaska",B06011_001,22015,1298
02185,"North Slope Borough, Alaska",B06011_001,49266,6247
02188,"Northwest Arctic Borough, Alaska",B06011_001,20581,2713
02195,"Petersburg Borough, Alaska",B06011_001,26401,3046
02198,"Prince of Wales-Hyder Census Area, Alaska",B06011_001,24867,2045
02220,"Sitka City and Borough, Alaska",B06011_001,41174,2251
02230,"Skagway Municipality, Alaska",B06011_001,36071,7250
02240,"Southeast Fairbanks Census Area, Alaska",B06011_001,26436,4242
02275,"Wrangell City and Borough, Alaska",B06011_001,30054,5565
02282,"Yakutat City and Borough, Alaska",B06011_001,31282,5538
02290,"Yukon-Koyukuk Census Area, Alaska",B06011_001,20271,1838
04001,"Apache County, Arizona",B06011_001,21970,1040
04003,"Cochise County, Arizona",B06011_001,27362,999
04005,"Coconino County, Arizona",B06011_001,25357,673
04007,"Gila County, Arizona",B06011_001,26686,1030
04009,"Graham County, Arizona",B06011_001,25888,1171
04011,"Greenlee County, Arizona",B06011_001,34227,4192
04012,"La Paz County, Arizona",B06011_001,21150,1611
04013,"Maricopa County, Arizona",B06011_001,34032,218
04015,"Mohave County, Arizona",B06011_001,25453,500
04017,"Navajo County, Arizona",B06011_001,22479,873
04019,"Pima County, Arizona",B06011_001,28683,489
04021,"Pinal County, Arizona",B06011_001,30021,526
04023,"Santa Cruz County, Arizona",B06011_001,23612,1693
04025,"Yavapai County, Arizona",B06011_001,27704,978
04027,"Yuma County, Arizona",B06011_001,25088,606
05001,"Arkansas County, Arkansas",B06011_001,27167,1615
05003,"Ashley County, Arkansas",B06011_001,22614,2068
05005,"Baxter County, Arkansas",B06011_001,25261,997
05007,"Benton County, Arkansas",B06011_001,34225,719
05009,"Boone County, Arkansas",B06011_001,25631,1261
05011,"Bradley County, Arkansas",B06011_001,27341,2214
05013,"Calhoun County, Arkansas",B06011_001,23918,3614
05015,"Carroll County, Arkansas",B06011_001,25367,1229
05017,"Chicot County, Arkansas",B06011_001,21086,982
05019,"Clark County, Arkansas",B06011_001,19884,1474
05021,"Clay County, Arkansas",B06011_001,21806,1401
05023,"Cleburne County, Arkansas",B06011_001,25366,1586
05025,"Cleveland County, Arkansas",B06011_001,24239,3017
05027,"Columbia County, Arkansas",B06011_001,21103,1821
05029,"Conway County, Arkansas",B06011_001,23742,2245
05031,"Craighead County, Arkansas",B06011_001,26631,668
05033,"Crawford County, Arkansas",B06011_001,25202,933
05035,"Crittenden County, Arkansas",B06011_001,25325,831
05037,"Cross County, Arkansas",B06011_001,26143,1377
05039,"Dallas County, Arkansas",B06011_001,23445,1776
05041,"Desha County, Arkansas",B06011_001,21278,2233
05043,"Drew County, Arkansas",B06011_001,25168,2410
05045,"Faulkner County, Arkansas",B06011_001,28061,1342
05047,"Franklin County, Arkansas",B06011_001,22065,1953
05049,"Fulton County, Arkansas",B06011_001,19813,2006
05051,"Garland County, Arkansas",B06011_001,25191,910
05053,"Grant County, Arkansas",B06011_001,30432,2339
05055,"Greene County, Arkansas",B06011_001,25432,1457
05057,"Hempstead County, Arkansas",B06011_001,23447,2133
05059,"Hot Spring County, Arkansas",B06011_001,24404,1863
05061,"Howard County, Arkansas",B06011_001,23012,1517
05063,"Independence County, Arkansas",B06011_001,24530,1480
05065,"Izard County, Arkansas",B06011_001,20569,1901
05067,"Jackson County, Arkansas",B06011_001,19998,1450
05069,"Jefferson County, Arkansas",B06011_001,24259,1285
05071,"Johnson County, Arkansas",B06011_001,21368,1378
05073,"Lafayette County, Arkansas",B06011_001,21970,1779
05075,"Lawrence County, Arkansas",B06011_001,21097,1290
05077,"Lee County, Arkansas",B06011_001,18564,2405
05079,"Lincoln County, Arkansas",B06011_001,22201,2908
05081,"Little River County, Arkansas",B06011_001,26289,1848
05083,"Logan County, Arkansas",B06011_001,22401,1265
05085,"Lonoke County, Arkansas",B06011_001,31434,1131
05087,"Madison County, Arkansas",B06011_001,22083,1551
05089,"Marion County, Arkansas",B06011_001,20213,1054
05091,"Miller County, Arkansas",B06011_001,24142,1443
05093,"Mississippi County, Arkansas",B06011_001,24789,1092
05095,"Monroe County, Arkansas",B06011_001,24032,3573
05097,"Montgomery County, Arkansas",B06011_001,22221,1876
05099,"Nevada County, Arkansas",B06011_001,22471,2241
05101,"Newton County, Arkansas",B06011_001,20681,1846
05103,"Ouachita County, Arkansas",B06011_001,21690,1473
05105,"Perry County, Arkansas",B06011_001,22142,1722
05107,"Phillips County, Arkansas",B06011_001,22430,1860
05109,"Pike County, Arkansas",B06011_001,22135,1445
05111,"Poinsett County, Arkansas",B06011_001,22237,1233
05113,"Polk County, Arkansas",B06011_001,22047,1494
05115,"Pope County, Arkansas",B06011_001,22100,887
05117,"Prairie County, Arkansas",B06011_001,27083,1343
05119,"Pulaski County, Arkansas",B06011_001,31436,525
05121,"Randolph County, Arkansas",B06011_001,22237,1196
05123,"St. Francis County, Arkansas",B06011_001,20724,701
05125,"Saline County, Arkansas",B06011_001,32961,1295
05127,"Scott County, Arkansas",B06011_001,22762,1529
05129,"Searcy County, Arkansas",B06011_001,18598,1710
05131,"Sebastian County, Arkansas",B06011_001,26269,757
05133,"Sevier County, Arkansas",B06011_001,23875,1990
05135,"Sharp County, Arkansas",B06011_001,19569,984
05137,"Stone County, Arkansas",B06011_001,17672,1579
05139,"Union County, Arkansas",B06011_001,25496,1508
05141,"Van Buren County, Arkansas",B06011_001,20937,1873
05143,"Washington County, Arkansas",B06011_001,29201,1035
05145,"White County, Arkansas",B06011_001,23405,1465
05147,"Woodruff County, Arkansas",B06011_001,24537,1895
05149,"Yell County, Arkansas",B06011_001,24810,1682
06001,"Alameda County, California",B06011_001,45882,505
06003,"Alpine County, California",B06011_001,32660,3820
06005,"Amador County, California",B06011_001,32480,1857
06007,"Butte County, California",B06011_001,25467,796
06009,"Calaveras County, California",B06011_001,29944,1873
06011,"Colusa County, California",B06011_001,28629,2650
06013,"Contra Costa County, California",B06011_001,43768,630
06015,"Del Norte County, California",B06011_001,24773,1770
06017,"El Dorado County, California",B06011_001,37774,1390
06019,"Fresno County, California",B06011_001,26633,337
06021,"Glenn County, California",B06011_001,25849,1222
